year,major_occ,ind1,occ_desc,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,professionals| managers & executives,manufacturing,industrial and production engineer,5426,4824
2022,professionals| managers & executives,manufacturing,transport and vehicle engineer,5223,4500
2022,professionals| managers & executives,manufacturing,manufacturing manager,7968,7532
2022,professionals| managers & executives,food| beverages & tobacco,manufacturing manager,5000,4500
2022,professionals| managers & executives,food| beverages & tobacco,sales manager,7315,3600
2022,professionals| managers & executives,food| beverages & tobacco,managing director/chief executive officer,9111,8000
2022,professionals| managers & executives,paper/ rubber/ plastic product & printing,manufacturing manager,4250,4150
2022,professionals| managers & executives,paper/ rubber/ plastic product & printing,managing director/chief executive officer,6000,6000
2022,professionals| managers & executives,paper/ rubber/ plastic product & printing,sales manager,5600,4500
2022,professionals| managers & executives,petroleum| chemical & pharmaceutical products,manufacturing manager,9346,9116
2022,professionals| managers & executives,petroleum| chemical & pharmaceutical products,industrial and production engineer,6700,6325
2022,professionals| managers & executives,petroleum| chemical & pharmaceutical products,sales manager,11322,9796
2022,professionals| managers & executives,fabricated metal products| machinery & equipment,industrial and production engineer,4995,4581
2022,professionals| managers & executives,fabricated metal products| machinery & equipment,manufacturing manager,6381,5700
2022,professionals| managers & executives,fabricated metal products| machinery & equipment,transport and vehicle engineer,5178,5170
2022,professionals| managers & executives,electronic| computer & optical products,industrial and production engineer,5483,4788
2022,professionals| managers & executives,electronic| computer & optical products,electronics engineer,6543,6437
2022,professionals| managers & executives,electronic| computer & optical products,industrial relations officer,4995,4995
2022,professionals| managers & executives,transport equipment,transport and vehicle engineer,5249,4357
2022,professionals| managers & executives,transport equipment,technical/engineering services manager (excluding transport),8612,7000
2022,professionals| managers & executives,transport equipment,industrial and production engineer,8867,8752
2022,professionals| managers & executives,construction,construction manager,6300,6000
2022,professionals| managers & executives,construction,managing director/chief executive officer,8000,7600
2022,professionals| managers & executives,construction,quantity surveyor,5000,4000
2022,professionals| managers & executives,services,financial services manager,11044,10850
2022,professionals| managers & executives,services,sales manager,8392,7111
2022,professionals| managers & executives,services,marketing manager,8526,8200
2022,professionals| managers & executives,wholesale and retail trade,sales manager,7988,6649
2022,professionals| managers & executives,wholesale and retail trade,retail manager,4603,3500
2022,professionals| managers & executives,wholesale and retail trade,budgeting and financial accounting manager (including financial controller),9000,8358
2022,professionals| managers & executives,wholesale trade,sales manager,8185,6998
2022,professionals| managers & executives,wholesale trade,budgeting and financial accounting manager (including financial controller),9700,8814
2022,professionals| managers & executives,wholesale trade,marketing manager,8323,7465
2022,professionals| managers & executives,retail trade,retail manager,4380,3500
2022,professionals| managers & executives,retail trade,managing director/chief executive officer,14000,14000
2022,professionals| managers & executives,retail trade,sales manager,5544,3925
2022,professionals| managers & executives,transportation and storage,transport/technical operations manager (except port/shipping operations),6244,4500
2022,professionals| managers & executives,transportation and storage,port/shipping operations manager,8221,7530
2022,professionals| managers & executives,transportation and storage,budgeting and financial accounting manager (including financial controller),7115,6630
2022,professionals| managers & executives,land transport & supporting services,transport/technical operations manager (except port/shipping operations),4918,3684
2022,professionals| managers & executives,land transport & supporting services,sales manager,6545,6300
2022,professionals| managers & executives,land transport & supporting services,technical/engineering services manager (excluding transport),5213,4833
2022,professionals| managers & executives,water transport & supporting services,port/shipping operations manager,8384,7975
2022,professionals| managers & executives,water transport & supporting services,mechanical engineer (excluding transport and vehicle engineer),5990,5256
2022,professionals| managers & executives,water transport & supporting services,network| communications and infrastructure manager,8897,8658
2022,professionals| managers & executives,air transport & supporting services,transport/technical operations manager (except port/shipping operations),8307,4500
2022,professionals| managers & executives,air transport & supporting services,transport and vehicle engineer,5844,3000
2022,professionals| managers & executives,air transport & supporting services,human resource manager,6961,4000
2022,professionals| managers & executives,accommodation and food services,restaurant manager,3421,2800
2022,professionals| managers & executives,accommodation and food services,food and beverage operations manager,3753,3255
2022,professionals| managers & executives,accommodation and food services,managing director/chief executive officer,5000,5000
2022,professionals| managers & executives,accommodation,hotel operations/lodging services manager,4786,4550
2022,professionals| managers & executives,accommodation,restaurant manager,4349,3791
2022,professionals| managers & executives,accommodation,sales manager,5700,4300
2022,professionals| managers & executives,food & beverage services,restaurant manager,3100,2700
2022,professionals| managers & executives,food & beverage services,food and beverage operations manager,3753,3239
2022,professionals| managers & executives,food & beverage services,managing director/chief executive officer,5000,5000
2022,professionals| managers & executives,information and communications,systems analyst,6543,6117
2022,professionals| managers & executives,information and communications,software| web and multimedia developer,6829,6000
2022,professionals| managers & executives,information and communications,sales manager,12000,9400
2022,professionals| managers & executives,telecommunications| broadcasting & publishing,sales manager,14896,11628
2022,professionals| managers & executives,telecommunications| broadcasting & publishing,ict sales and services professional,12679,8283
2022,professionals| managers & executives,telecommunications| broadcasting & publishing,systems analyst,13368,12148
2022,professionals| managers & executives,it & other information services,systems analyst,6259,6000
2022,professionals| managers & executives,it & other information services,software| web and multimedia developer,6784,6000
2022,professionals| managers & executives,it & other information services,sales manager,10675,9400
2022,professionals| managers & executives,financial and insurance services,financial services manager,11140,11020
2022,professionals| managers & executives,financial and insurance services,financial and investment adviser,5280,5270
2022,professionals| managers & executives,financial and insurance services,chief operating officer/general manager,9600,8500
2022,professionals| managers & executives,financial services,financial services manager,11133,11020
2022,professionals| managers & executives,financial services,financial and investment adviser,5400,5400
2022,professionals| managers & executives,financial services,chief operating officer/general manager,9488,8500
2022,professionals| managers & executives,insurance,insurance services manager,9583,9521
2022,professionals| managers & executives,insurance,insurance underwriter,7314,7314
2022,professionals| managers & executives,insurance,financial and investment adviser,3575,3500
2022,professionals| managers & executives,real estate services,premises and facilities maintenance manager (excluding building security manager),6191,5000
2022,professionals| managers & executives,real estate services,security manager,4680,4680
2022,professionals| managers & executives,real estate services,accountant (excluding tax accountant),6080,4800
2022,professionals| managers & executives,professional services,marketing manager,8608,8434
2022,professionals| managers & executives,professional services,management and business consultant,8560,7958
2022,professionals| managers & executives,professional services,software| web and multimedia developer,9194,8800
2022,professionals| managers & executives,legal| accounting & management services,marketing manager,8761,8563
2022,professionals| managers & executives,legal| accounting & management services,management and business consultant,8760,7966
2022,professionals| managers & executives,legal| accounting & management services,audit manager,8415,8400
2022,professionals| managers & executives,architectural & engineering services,mechanical engineer (excluding transport and vehicle engineer),5152,4673
2022,professionals| managers & executives,architectural & engineering services,civil engineer,6630,6265
2022,professionals| managers & executives,architectural & engineering services,technical/engineering services manager (excluding transport),10316,10000
2022,professionals| managers & executives,administrative and support services,personnel/human resource officer,1685,1300
2022,professionals| managers & executives,administrative and support services,managing director/chief executive officer,7050,6000
2022,professionals| managers & executives,administrative and support services,budgeting and financial accounting manager (including financial controller),7414,6901
2022,professionals| managers & executives,education| health and social services,university lecturer,9700,9010
2022,professionals| managers & executives,education| health and social services,registered nurse and other nursing professional (e.g. clinical nurse| nurse educator| excluding enrolled nurse),5442,4677
2022,professionals| managers & executives,education| health and social services,education and training institution manager,5300,5300
2022,professionals| managers & executives,health & social services,registered nurse and other nursing professional (e.g. clinical nurse| nurse educator| excluding enrolled nurse),5445,4681
2022,professionals| managers & executives,health & social services,technical/vocational/commercial education institute teacher and trainer,3368,3000
2022,professionals| managers & executives,health & social services,social service professional,4293,3200
2022,professionals| managers & executives,arts| entertainment| recreation and other services,managing director/chief executive officer,8224,8138
2022,professionals| managers & executives,arts| entertainment| recreation and other services,strategic planning manager,17243,17243
2022,professionals| managers & executives,arts| entertainment| recreation and other services,human resource manager,7100,7038
2022,associate professionals & technicians,manufacturing,manufacturing engineering technician,4257,3265
2022,associate professionals & technicians,manufacturing,mechanical engineering technicians (excluding transport and vehicle engineering technicians),4263,3230
2022,associate professionals & technicians,manufacturing,commercial and marketing sales executive,4126,3850
2022,associate professionals & technicians,food| beverages & tobacco,commercial and marketing sales executive,3760,3618
2022,associate professionals & technicians,food| beverages & tobacco,manufacturing engineering technician,4000,3324
2022,associate professionals & technicians,food| beverages & tobacco,operations officer (except transport operations),4511,3220
